order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_pct,total_amount,payment_method,order_status
500001,1001,P1001,2023-07-01,2023-07-03,1,999.99,10,899.99,Credit Card,Delivered
500002,1002,P1002,2023/07/02,2023/07/04,2,29.99,0,59.98,Visa,Delivered
500003,1003,P1003,07-03-2023,07-06-2023,5,$14.99,5,71.20,PayPal,Delivered
500004,1004,P1005,2023-07-04,,1,499,0,499,Credit Card,Pending
500005,1005,P1010,2023-07-05,2023-07-04,1,-120,0,-120,Cash,Delivered
500006,1006,P1008,2023-07-06,2023-07-08,3,39.95,10,107.87,MasterCard,Delivered
500007,1007,P9999,2023-07-07,2023-07-09,2,49,0,98,Credit Card,Delivered
500008,9999,P1002,2023-07-08,2023-07-10,1,29.99,0,29.99,Credit Card,Delivered
500009,1009,P1004,2023-07-09,2023-07-11,0,199.99,0,0,Credit Card,Cancelled
500010,1010,P1006,2023-07-10,2023-07-13,-3,89.99,0,-269.97,Debit,Returned
500011,1011,P1007,2023-07-11,2023-07-13,1,,0,,Credit Card,Pending
500012,1012,P1011,2023-07-12,2023-07-15,1000,3.49,150,0,Credit Card,Delivered
500013,1013,P1012,2023-07-13,2023-07-15,2,12,abc,24,Credit Card,Delivered
500014,1014,P1014,2023-07-14,2023-07-17,1,129.99,5,123.49,Apple Pay,Delivered
500015,1015,P1015,2023-02-30,2023-03-02,1,179.99,0,179.99,Google Pay,Delivered
500016,1016,P1016,bad-date,2023-07-18,1,499.99,0,499.99,Credit Card,Delivered
500017,1017,P1017,2023-07-17,2023-07-20,3,89.99,15,229.47,PayPal,Delivered
500018,1018,P1018,2023-07-18,2023-07-21,1,699.99,5,664.99,Credit Card,Delivered
500019,1019,P1019,2023-07-19,2023-07-25,2,899.99,0,1799.98,Credit Card,Shipped
500020,1020,P1020,2023-07-20,2023-07-22,1,39.99,0,39.99,Cash,Delivered
500020,1020,P1020,2023-07-20,2023-07-22,1,39.99,0,39.99,Cash,Delivered
500021,XYZ,P1001,2023-07-21,2023-07-23,1,999.99,0,999.99,Credit Card,Delivered
500022,1001,BADID,2023-07-22,2023-07-24,1,0,0,0,Credit Card,Delivered
500023,,P1002,2023-07-23,2023-07-25,1,29.99,0,29.99,,Pending
500025,1009,P1060,2025-02-19,2025-02-21,4,542.28,5,2060.66,Apple Pay,Cancelled
500026,1026,P1005,2024-01-23,2024-01-30,3,499.00,5,1422.15,Credit Card,Shipped
500027,1061,P1040,2025-02-21,2025-02-26,5,651.16,15,2767.43,Mastercard,Delivered
500028,1100,P1097,2024-07-01,2024-07-08,2,408.86,10,735.95,Credit Card,Shipped
500029,1096,P1035,2024-08-11,2024-08-15,1,397.51,10,357.76,PayPal,Cancelled
500030,1048,P1044,2024-12-20,2024-12-24,2,134.38,15,228.45,Cash,Shipped
500031,1024,P1011,2024-08-08,2024-08-13,4,3.49,0,13.96,Cash,Shipped
500032,1038,P1042,2024-06-16,2024-06-22,1,508.12,0,508.12,Mastercard,Cancelled
500033,1045,P1078,2024-12-19,2024-12-23,4,223.03,5,847.51,PayPal,Delivered
500034,1082,P1094,2024-08-10,2024-08-13,3,536.74,20,1288.18,Credit Card,Delivered
500035,1096,P1086,2024-09-19,2024-09-26,4,487.27,10,1754.17,Apple Pay,Pending
500036,1057,P1004,2024-12-13,2024-12-20,2,199.99,20,319.98,Credit Card,Pending
500037,1073,P1009,2024-07-04,2024-07-08,2,49.00,10,88.20,Credit Card,Pending
500038,1098,P1087,2024-07-09,2024-07-13,4,424.36,10,1527.70,Credit Card,Pending
500039,1036,P1068,2024-06-09,2024-06-15,3,598.11,15,1525.18,Visa,Delivered
500040,1072,P1004,2024-09-22,2024-09-26,2,199.99,15,339.98,Credit Card,Shipped
500041,1037,P1100,2024-04-19,2024-04-24,3,36.84,15,93.94,Apple Pay,Cancelled
500042,1058,P1026,2025-03-12,2025-03-13,1,452.71,5,430.07,Visa,Cancelled
500043,1071,P1012,2024-12-29,2024-12-30,3,12.00,10,32.40,Cash,Shipped
500044,1066,P1039,2025-02-10,2025-02-13,2,393.83,5,748.28,Visa,Delivered
500045,1004,P1026,2025-02-08,2025-02-12,2,452.71,5,860.15,Mastercard,Shipped
500046,1009,P1060,2024-11-09,2024-11-10,5,542.28,5,2575.83,Mastercard,Cancelled
500047,1053,P1092,2024-07-29,2024-08-05,4,635.01,20,2032.03,Cash,Delivered
500048,1088,P1017,2024-08-18,2024-08-22,3,89.99,0,269.97,Cash,Shipped
500049,1017,P1017,2024-04-03,2024-04-10,5,89.99,20,359.96,PayPal,Delivered
500050,1020,P1016,2024-06-04,2024-06-06,5,499.99,5,2374.95,Mastercard,Pending
500051,1033,P1045,2025-03-09,2025-03-10,5,576.26,10,2593.17,Visa,Shipped
500052,1065,P1017,2024-09-30,2024-10-01,3,89.99,20,215.98,Apple Pay,Pending
500053,1080,P1076,2024-03-28,2024-04-03,5,400.35,5,1901.66,Apple Pay,Shipped
500054,1083,P1073,2024-02-11,2024-02-12,1,64.37,0,64.37,Cash,Shipped
500055,1082,P1084,2024-08-01,2024-08-06,2,420.94,20,673.50,Credit Card,Cancelled
500056,1062,P1081,2024-11-24,2024-11-27,5,33.20,10,149.40,Visa,Cancelled
500057,1020,P1039,2024-12-18,2024-12-19,4,393.83,0,1575.32,PayPal,Cancelled
500058,1019,P1062,2024-06-23,2024-06-28,4,310.82,5,1181.12,Mastercard,Shipped
500059,1048,P1094,2024-03-07,2024-03-14,3,536.74,15,1368.69,Cash,Delivered
500060,1058,P1041,2024-03-03,2024-03-06,2,364.73,15,620.04,Visa,Pending
500061,1079,P1013,2025-04-29,2025-05-03,1,399.99,10,359.99,PayPal,Pending
500062,1025,P1020,2025-01-04,2025-01-07,3,39.99,20,95.98,Visa,Cancelled
500063,1064,P1066,2025-03-26,2025-03-29,4,398.09,15,1353.51,Credit Card,Delivered
500064,1028,P1051,2025-05-09,2025-05-11,5,34.78,15,147.81,Cash,Shipped
500065,1084,P1007,2024-09-10,2024-09-15,1,10.00,10,9.00,Apple Pay,Cancelled
500066,1056,P1037,2025-03-09,2025-03-10,5,667.72,0,3338.60,Visa,Shipped
500067,1052,P1094,2024-07-06,2024-07-07,3,536.74,15,1368.69,Credit Card,Pending
500068,1065,P1047,2024-02-07,2024-02-11,5,186.96,10,841.32,PayPal,Shipped
500069,1051,P1080,2024-03-06,2024-03-07,5,134.08,0,670.40,Mastercard,Shipped
